LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-96.3645099,29.9606752,0,Lilac Lane,,BELLVILLE,,,,,eef00543793ad4d6
-96.3601402,29.9601971,0,Lilac Lane,,BELLVILLE,,,,,de5cc917b8cf9a0f
-96.3596669,29.9603755,694,Lilac Lane,,BELLVILLE,,,,,ba40ff73f6dd751f
-96.3507705,29.9554432,140,Century Lane,,BELLVILLE,,,,,f5d87e70aa9b6d3c
-96.0328789,29.6003643,,,,,,,,,8f14733010594b8d
-96.0302671,29.6000054,,,,,,,,,9bc87663adf5a7f5
-96.0274239,29.6000368,,,,,,,,,0fbd57419a0a2f3d
-96.0237192,29.5954558,,,,,,,,,945400c49437eeca
-96.0781926,29.7147486,6273,Verm Road,,SEALY,,,,,26b37647519f0c64
-96.2323797,29.825373,6519,Fm 1094,, ,,,,,603501350ee19ca3
-96.0768837,29.7126927,6367,Verm Road,,,,,,,32e0e527219b4cdf
-96.05875,29.735705,3875,Gajewski Road,,SEALY,,,,,b5110106341fb675
-96.1469518,29.7264948,0,Highway 36 South,,SEALY,,,,,53664ef9f4474691
-96.1289362,29.7190764,1777,Mixville Road,,SEALY,,,,,b277afa3188b29bf
-96.2021187,29.702941,5084,Fm 3013,,SEALY,,,,,683767628593581b
-96.0540199,29.6354417,0,3rd Street,, ,,,,,62d01871d3c9eb55
-96.1280894,29.7153355,0,Machala Road @ Mixville R,,,,,,,2a8948b0e5d520c3
-96.1665432,29.7686285,1315,Town Park Drive,,SEALY,,,,,74cbbf5a8015de82
-96.1042932,29.7430677,0,Eveline Road (Off Of),,SEALY,,,,,8e71170681bc798f
-96.2632249,29.7970194,0,Fm 2187,,SEALY,,,,,d0d1084d9640ad56
-96.061626,29.7365097,,,,,,,,,e3f117253126cb47
-96.063359,29.7365992,0,Gajewski Road,,SEALY,,,,,71a732c47308f379
-96.1691856,29.7788762,0,,,SEALY,,,,,2dbe3bb3efadf2fa
-96.1700848,29.7777437,0,Westview Drive (Of Off),,,,,,,0e95a2faa6f1e4d7
-96.5389286,29.9215396,6420,Miller Road,,NEW ULM,,,,,b153c6503ad98304
-96.3220768,29.8865022,0,Cat Spring Cemetery Road,,CAT SPRING,,,,,52eff9957531cc24
-96.3213098,29.8840733,7974,Cat Spring Cemetery Road,,CAT SPRING,,,,,f89e17303419f391
-96.1554195,29.7786095,0,Fowlkes Street,,SEALY,,,,,459a80504926477b
-96.5126926,29.9804944,8975,Schroeder Drive,,INDUSTRY,,,,,70c772228ff31cd0
-96.5116739,29.9791898,,,,,,,,,cf4a6a91cf8c929e
